id,description,mfg,mfg_id,category_id
100623,150 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-150-1%,1
100624,150K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1503,1
100625,15K Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB153V,1
100626,15K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1502,1
100627,15M Ohm 1/4W ±10%,Panasonic - ECG,ERJ-8GEYK156V,1
100628,16 Ohm 1/4W ±1%,Vishay/Dale,CRCW120616R0FKEA,1
100629,16.5K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1652,1
100630,160K Ohm 1/8W ±0.1%,Susumu Co Ltd,RG2012P-164-B-T5,1
100631,17.4K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1742,1
100632,18.7K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1872,1
100633,180 Ohm 1/10W ±1%,ROHM Semiconductor,MCR03EZPFX1800,1
100634,180 Ohm 1/4W ±1%,Vishay/Dale,CRCW1206180RFKEA,1
100635,180K Ohm 1/10W ±0.1%,Susumu Co Ltd,RR1220P-184-B-T5,1
100636,18K Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB183V,1
100637,18K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1802,1
100638,19.1K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1912,1
100639,1K 5W ±5% Small Metal Oxide Resistors,Xicon,286-1.0K-RC,1
100640,1K Ohm .25W ±5% SMD,Ohmite,RC0S2CA1K00JE,1
100641,1K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1001,1
100642,1K Ohm 1/8W ±0.1%,Vishay/Dale,TNPW08051K00BETY,1
100643,1K Ohm 1W ±1%,Panasonic - ECG,ERJ-1TNF1001U,1
100644,1K Ohm 5W SILICONE,Huntington Electric Inc.,ALSR-5-1.0K-1%,1
100645,1K Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-1.00K-1%,1
100646,1M Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF1004,1
100647,1M Ohm 1/8W ±0.1%,Susumu Co Ltd,RG2012P-105-B-T5,1
100648,1M Ohm 1W ±5% METAL OXIDE,Yageo Corporation,RSF100JB-1M0,1
100649,2 Ohm 1/2W ±1%,Susumu Co Ltd,RL1632R-2R00-F,1
100650,2 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHFL2R00,1
100651,2 Ohm 1W ±5%,Vishay/Dale,CRCW25122R00JNEG,1
100652,2 Ohm 30W ±1%,"Caddock Electronics, Inc.",MP930-2.00-1%,1
100653,2 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-2.00-1%,1
100654,2.05K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2051,1
100655,2.2K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2201,1
100656,2.2K Ohm 1/8W ±0.1%,Panasonic - ECG,ERA-6AEB222V,1
100657,2.37K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2371,1
100658,2.40 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHFL2R40,1
100659,2.40M Ohm 1/8W ±1%,Vishay/Dale,CRCW08052M40FKEA,1
100660,2.43K Ohm 1/10W ±0.1%,Susumu Co Ltd,RG1608P-2431-B-T5,1
100661,2.49K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2491,1
100662,2.5K Ohm 20W ±5% SILICON PCB,Huntington Electric Inc.,FS20S-2.5K,1
100663,2.67K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2671,1
100664,2.74K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2741,1
100665,2.87K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2871,1
100666,20 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF20R0,1
100667,20 Ohm 1/4W ±1% METAL FILM,Panasonic - ECG,ERO-S2PHF20R0,1
100668,20 Ohm 5W RADIAL CERAM,Ohmite,TWW5J20RE,1
100669,20 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-20.0-1%,1
100670,200 Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB201V,1
100671,200 Ohm 1/2W ±10% SQ CERMET TOP POT,Copal Electronics Inc,CT94EW201,1
100672,200 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2000,1
100673,200 Ohm 30W ±1%,"Caddock Electronics, Inc.",MP930-200-1%,1
100674,200 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-200-1%,1
100675,200K Ohm 1/10W ±0.1%,Susumu Co Ltd,RR1220P-204-B-T5,1
100676,200K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2003,1
100677,200K Ohm 1/8W ±0.1%,Susumu Co Ltd,RG2012P-204-B-T5,1
100678,200K Ohm 1W ±1%,Panasonic - ECG,ERJ-1TNF2003U,1
100679,20K Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB203V,1
100680,20K Ohm 1/4W ±0.1%,Susumu Co Ltd,RG3216P-2002-B-T1,1
100681,20K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2002,1
100682,20M Ohm 1W ±1% THICK FILM,Ohmite,SM102032005F,1
100683,21K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2102,1
100684,22 Ohm 1W CARB COMP,Ohmite,OA220KE,1
100685,22.6K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2262,1
100686,220 Ohm 1/10W ±1%,Yageo Corporation,RC0603FR-07220RL,1
100687,220 Ohm 1/4W ±1%,Vishay/Dale,CRCW1206220RFKEA,1
100688,220 Ohm 1W ±10% CARB COMP,Ohmite,OA221KE,1
100689,220 Ohm 2W ±1%,Stackpole Electronics Inc,RHC 2512 220 ±1% R,1
100690,220K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2203,1
100691,22K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2202,1
100692,24.3K Ohm 1/8W ±0.1%,Susumu Co Ltd,RG2012P-2432-B-T5,1
100693,24.9 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF24R9,1
100694,24.9 Ohm 1W ±1%,Vishay/Dale,CRCW251224R9FKEG,1
100695,24.9K Ohm 1/10W ±0.1%,Susumu Co Ltd,RG2012P-2492-B-T5,1
100696,24.9K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2492,1
100697,240 Ohm 1/4W ±0.1%,Susumu Co Ltd,RGH2012-2E-P-241-B,1
100698,249 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2490,1
100699,249K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2493,1
100700,25 Ohm 30W ±1%,"Caddock Electronics, Inc.",MP930-25.0-1%,1
100701,25 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-25.0-1%,1
100702,25.5 Ohm 1W ±1%,Panasonic - ECG,ERJ-1TNF25R5U,1
100703,250 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-250-1%,1
100704,27 Ohm 1/4W ±1%,Vishay/Dale,CRCW120627R0FKEA,1
100705,27.4K Ohm 1/4W ±1%,Panasonic - ECG,ERJ-8ENF2742V,1
100706,274K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2743,1
100707,287K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2873,1
100708,28K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2802,1
100709,2K Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB202V,1
100710,2K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2001,1
100711,2K Ohm 1W ±1%,Panasonic - ECG,ERJ-1TNF2001U,1
100712,2M Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF2004,1
100713,3 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHFL3R00,1
100714,3.01K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3011,1
100715,3.30 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHFL3R30,1
100716,3.3K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3301,1
100717,3.57K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3571,1
100718,3.6 Ohm 1/4W ±1%,Yageo Corporation,9C12063A3R60FGHFT,1
100719,3.74M Ohm 1/4W ±1%,Yageo Corporation,RC1206FR-073M74L,1
100720,3.9K Ohm 1/8W ±0.1%,Panasonic - ECG,ERA-6AEB392V,1
100721,30 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF30R0,1
100722,30 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-30.0-1%,1
100723,300 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3000,1
100724,30K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3002,1
100725,31.6K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3162,1
100726,316 Ohm 1/8W ±0.1%,Susumu Co Ltd,RG2012P-3160-B-T5,1
100727,32.4 Ohm 1/4W ±1%,Vishay/Dale,CRCW120632R4FKEA,1
100728,33 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-33.0-1%,1
100729,33.2K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3322,1
100730,330 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3300,1
100731,330 Ohm 1W ±10% CARB COMP,Ohmite,OA331KE,1
100732,332 Ohm 1/4W ±1%,Panasonic - ECG,ERJ-8ENF3320V,1
100733,332K Ohm 1/10W ±0.1%,Susumu Co Ltd,RG1608P-3323-B-T5,1
100734,33K Ohm 1/4W ±0.1%,Panasonic - ECG,ERA-14EB333U,1
100735,33K Ohm 1W ±10% CARB COMP,Ohmite,OA333KE,1
100736,36.5K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3652,1
100737,360 Ohm .5W ±5%  POWER,Ohmite,RC0R5DB360RJ,1
100738,374K Ohm 1/8W ±1%,Panasonic - ECG,ERJ-6ENF3743V,1
100739,39 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF39R0,1
100740,39 Ohm 1W ±1%,Panasonic - ECG,ERJ-1TNF39R0U,1
100741,390 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3900,1
100742,390 Ohm 1W ±10% CARB COMP,Ohmite,OA391KE,1
100743,392K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3923,1
100744,3K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF3001,1
100745,3M Ohm 1/4W ±1%,Yageo Corporation,RC1206FR-073ML,1
100746,4 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-4.00-1%,1
100747,4.02 Ohm 1/4W ±1%,Vishay/Dale,CRCW12064R02FKEA,1
100748,4.02K Ohm 1/4W 1%,ROHM Semiconductor,MCR18EZHF4021,1
100749,4.3K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4301,1
100750,4.53K Ohm 1/8W ±1%,ROHM Semiconductor,MCR10EZHF4531,1
100751,4.53M Ohm 1/8W ±1%,Yageo Corporation,RC0805FR-074M53L,1
100752,4.7K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4701,1
100753,4.75K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4751,1
100754,4.87K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4871,1
100755,4.99 Ohm 1/4W ±1%,Yageo Corporation,RC1206FR-074R99L,1
100756,4.99K Ohm 1/10W ±0.1%,Susumu Co Ltd,RG1608P-4991-B-T5,1
100757,4.99K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4991,1
100758,4.99K Ohm 1/8W ±0.1%,KOA Speer,RN732BTTD4991B25,1
100759,40.2K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4022,1
100760,40.2K Ohm 1/8W ±0.1%,Vishay/Dale,TNPW080540K2BEEA,1
100761,402 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4020,1
100762,402K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4023,1
100763,453K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4533,1
100764,47 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF47R0,1
100765,470 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4700,1
100766,470K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4703,1
100767,47K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4702,1
100768,47K Ohm 1W ±5%,Vishay/Dale,CRCW251247K0JNEG,1
100769,49.9 Ohm 1/16W ±0.5%,Susumu Co Ltd,RR0816Q-49R9-D-68R,1
100770,49.9 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF49R9,1
100771,49.9K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4992,1
100772,499 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4990,1
100773,499 Ohm 1/8W ±0.1%,Susumu Co Ltd,RG2012P-4990-B-T5,1
100774,499K Ohm 1/10W ±0.1%,Susumu Co Ltd,RR1220P-4993-B-M-T5,1
100775,499K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF4993,1
100776,5 Ohm ±0.1% FPS 4,Riedon,FPS 4 T220 5 Ohm ±.1%,1
100777,5 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-5.00-1%,1
100778,5.23K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF5231,1
100779,5.62K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF5621,1
100780,5.62K Ohm 1W ±1%,Panasonic - ECG,ERJ-1TNF5621U,1
100781,5.76K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF5761,1
100782,500 Ohm 30W ±1%,"Caddock Electronics, Inc.",MP930-500-1%,1
100783,500 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-500-1%,1
100784,500M Ohm 1W ±1% THICK FILM,Ohmite,SM102035006F,1
100785,50K Ohm 12W ±5% POWER,Ohmite,"mber	B12J50KE-ND",1
100786,51 Ohm 1/4W ±1% METAL FILM,Panasonic - ECG,ERO-S2PHF51R0,1
100787,51.0K Ohm 1/4W ±1%,Rohm Semiconductor,MCR18EZHF5102,1
100788,53.6K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF5362,1
100789,54.9K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF5492,1
100790,56 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-56.0-1%,1
100791,560 Ohm 1/10W ±1%,ROHM Semiconductor,MCR03EZPFX5600,1
100792,560 Ohm 1W ±5%,Panasonic - ECG,ERJ-1TYJ561U,1
100793,56K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF5602,1
100794,56M 1/8W ±5%,PHYCOMP (YAGEO),RC0805JR-0756ML,1
100795,57.6 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF57R6,1
100796,57.6K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF5762,1
100797,6.2K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF6201,1
100798,6.65K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF6651,1
100799,60.4K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF6042,1
100800,604K Ohm 1/4W ±1%,Panasonic - ECG,ERJ-8ENF6043V,1
100801,620 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF6200,1
100802,63.4 Ohm 1/4W ±1%,Vishay/Dale,CRCW120663R4FKEA,1
100803,63.4K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF6342,1
100804,665K Ohm 1/8W ±1%,Panasonic - ECG,ERJ-6ENF6653V,1
100805,68 Ohm 1W ±5%,Vishay/Dale,CRCW251268R0JNEG,1
100806,680 Ohm 1/4W ±1%,Vishay/Dale,CRCW1206680RFKEA,1
100807,7.32K Ohm 1/4W ±1%,Yageo Corporation,9C12063A7321FKHFT,1
100808,7.5K Ohm 10W ±1% SILICONE WW,Vishay/Dale,RS0107K500FE73,1
100809,7.5M Ohm 1/4W ±5%,ROHM Semiconductor,MCR18EZHJ755,1
100810,75 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF75R0,1
100811,75 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-75.0-1%,1
100812,75K Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB753V,1
100813,75K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF7502,1
100814,787K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF7873,1
100815,8 Ohm 60W ±1%,"Caddock Electronics, Inc.",MP2060-8.00-1%,1
100816,8.06 Ohm 1/4W ±1%,Vishay/Dale,CRCW12068R06FKEA,1
100817,8.06K Ohm 1/4W ±1%,Yageo Corporation,RC1206FR-078K06L,1
100818,8.20K Ohm 1/4W ±1%,Yageo Corporation,RC1206FR-078K2L,1
100819,8.25K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF8251,1
100820,8.66M Ohm 1/8W ±1%,Yageo Corporation,RC0805FR-078M66L,1
100821,82 Ohm 1/10W ±1%,ROHM Semiconductor,MCR03EZPFX82R0,1
100822,820 Ohm 1W ±10% CARB COMP,Ohmite,OA821KE,1
100823,825 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF8250,1
100824,82K Ohm 1/8W ±0.1%,Panasonic - ECG,ERA-6AEB823V,1
100825,9.09K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF9091,1
100826,9.53K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF9531,1
100827,9.76K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF9761,1
100828,90.9 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF90R9,1
100829,909 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF9090,1
100830,909K Ohm ±0.1% ±25ppm Precision  SMD,IRC,PFC-W1206LF-03-9093-B,1
100831,91K Ohm 1/10W ±0.1%,Panasonic - ECG,ERA-6YEB913V,1
100832,93.1 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF93R1,1
100833,931K Ohm 1/4W ±1%,Panasonic - ECG,ERJ-8ENF9313V,1
100834,953 Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF9530,1
100835,953K Ohm 1/4W ±1%,ROHM Semiconductor,MCR18EZHF9533,1
100836,2PIN 75V SURGE ARRESTER GASTUBE,EPCOS Inc,EC75X,22
100837,2PIN 90V SURGE ARRESTER GASTUBE,EPCOS Inc,EC90X,22
100838,SWITCH LT 6mm MOM NO PCB,Panasonic - ECG,EVQ-Q2K03W,30
100839,25V 80mA N-CHAN SWITCH,Fairchild Semiconductor,MMBFJ108,25
100840,10K Ohm ±10% THERMISTOR NTC,GE Sensing,NHQ103B375T10,31
100841,100V 25A PNP,STMicroelectronics,TIP36CW,2
100842,15A 100V DARL PNP,ON Semiconductor,BDW47G,2
100843,15A 350V TRANS BIPO NPN,ON Semiconductor,MJL4281AG,2
100844,15A 350V TRANS BIPO PNP,ON Semiconductor,MJL4302AG,2
100845,180VCEO 1.5A,Panasonic - SSG,2SA21400P,2
100846,400V 150mA HV TRANS PNP,"Zetex, Inc.",FMMT558TA,2
100847,400V 225mA TRANS HP NPN,"Zetex, Inc.",FMMT458TA,2
100848,4A 350V TRANS PWR NPN,ON Semiconductor,MJE15034G,2
100849,4A 350V TRANS PWR PNP,ON Semiconductor,MJE15035G,2
100850,50 Ohm RF TRANSFORMER,mini-circuits,T1-1T,32
100851,Bobbin 42mm x 29mm Round 2 Section,"Magnetics, Inc.",00B422902,33
100852,Pot Core 26X16 Linear Ferrite,"Magnetics, Inc.",0P42616UG,33
100853,Core Clamp for Core 0P43622UG,"Magnetics, Inc.",00C362217,33
100854,GATE DRIVE TRANSFORMER,TRIAD,GDE25-1,33
100855,GATE DRIVE TRANSFORMER,TRIAD,GDE25-2,33
100856,GATE DRIVE TRANSFORMER,Pulse,P0584NL,33
100857,12PIN  PCB Mount Bobbin Core,"Magnetics, Inc.",PCB362211,33
100858,6PIN PCB Mount Bobbin Core 1 Section,"Magnetics, Inc.",PCB261621,33
100859,LINEAR FERRITE 42X29 POT CORE,"Magnetics, Inc.",0P44229UG,33
100860,Pot Core,"Magnetics, Inc.",0P43622UG,33
100861,60V TRANS GP SS NPN,ON Semiconductor,MMBT2484LT1G,2
100862,180VCEO 1.5A NPN,Panasonic - SSG,2SC59930P,2
100863,80V 1A TRANS NPN MED,NXP Semiconductors,BCX56-16 T/R,2
100864,80V 1A TRANS PNP MED,NXP Semiconductors,BCX53-16 T/R,2
100865,160V 600mA TRANS SS NPN,Micro Commercial Co.,MMBT5551-TP,2
100866,150V 600mA TRANS SS PNP,Micro Commercial Co.,MMBT5401-TP,2
100867,80V 500mA  TRANS SS PNP,Micro Commercial Co.,MMBTA56-TP,2
100868,TRANS HI-VOLT NPN,Infineon Technologies,MMBT3904LT1,2
100869,100V 25A TRANS NPN,STMicroelectronics,TIP35CW,2
100870,TRANS SWITCHING PNP,Infineon Technologies,MMBT3906LT1,2
100872,10K Ohm SQ CERMET TOP POT,Copal Electronics Inc,CT94EW103,34
100873,50K Ohm 2mm CERMET ST SMD TRIMPOT,"Bourns, Inc.",3312J-1-503E,34
100874,"Heat Sink Aluminum 1"" x 11/16"" x 3/8""",Cool Innovations,3-1007035UX,33
100875,1000V GASTUBE 2P SURGE ARRESTER,EPCOS Inc,A71-H10X,22
100876,500mA 600 Ohm FERRITE,Steward,HZ1206E601R-10,33
100877,"BOARD LEVEL HEATSINK .375 D-PAK""",Aavid Thermalloy,7106DG,33
100878,Bobbin for 43622ug core 3 SECTION,"Magnetics, Inc.",00B362203,33
100879,35 Ohm EMI Suppression Bead,FAIR RITE,2643001501,35
100881,ISOLATOR PHOTOVO DL 5V 5UA 8-SMD,International Rectifier,PVI1050NS,25
100882,NETWORK PECL TERM,NXP Semiconductors,PSSI3120CA /T3,33
100883,200mHZ 3.3V SMD,Fox Electronics,FXO-HC536R-200,33
100884,"0.5"" OD Shoulder Washer Teflon - Custom",Craft Tech Inustries,100-9181-29,24
100885,230V Surge Arrester GasTube 2PIN,EPCOS Inc,M51-A230X,22
100886,100A TRANSDUCER CURRENT CLOSE LOOP,LEM USA Inc,LA 100-P,33
100887,#4 Lock Washer INT Tooth Zinc,Building Fasteners,INT LWZ 004,24
100888,180VCEO 1.5A TRANS PNP,Panasonic - SSG,2SA21400Q,27
100889,42mm x 29mm Bobbin Round 1 Section,"Magnetics, Inc.",00B422901,33
100890,20POS .100” HEADER VERT 15AU,Tyco Electronics/Amp,6-102202-7,4
100891,".1"" Shunt Jumper Black Gold",3M,969102-0000-DA,4
100892,10’ USB A/B Device Cable Black,Qualtek,3021013-10,36
100893,16’ USB A/B Device Cable Black,Qualtek,3021025-16,36
100894,Jumper Shorting Gold Flash,Sullins Connector Solutions,SPC02SYAN,4
100895,"262,214 word X 12 bit FIFO",OKI,MSM54V1222B,25
100896,PREC SHUNT REG ADJ LV,Texas Instruments,TLVH432ACDBZR,25
100897,OPTOISO 1CH DARL OUT HI VCE SMD,,PC3H7CDJ000F,25
100899,Trans PNP 180V 2A 2 10R1A,,,2
100900,8POS 2mm SOCKET,3M,150208-6002-TB,4
100901,1000V 3.1A N-CH,Vishay/Siliconix,IRFPG30,27
100902,50V 300mA N-CH,"Diodes, Inc.",DMN5L06K-7,27
100903,TRANS PWR NPN 8A 250V TO220AB,ON Semiconductor,MJE15032G,2
100904,8A 250V 50W,ON Semiconductor,MJE15033G,2
100905,24POS 2mm SOCKET,3M,150224-2000-RB-WD,4
100906,10uH 100mA,Murata Electronics,LQM21FN100M70L,26
100908,10 Ohm 1/4W ±5%,ROHM Semiconductor,ESR10EZPJ100,1
100909,100K Ohm 1/8W ±1%,,ERJ-8ENF1003V,1
100910,10K Ohm 1/4W ±0.1%,"Bourns, Inc.",CRT1206-BY-1002ELF,1
100911,10M Ohm 1W ±5% THICK FILM,Ohmite,SM102031005J,1
100912,1K Ohm 1/4W ±5% RADIAL,Ohmite,OD102JE,1
100913,3.3K Ohm 1/4W ±5%,KOA Speer,RK73B2BTTD332J,1
100914,33 Ohm 1/16W ±5%,Venkel LTD.,CR0402-16W-330JT,1
100915,Microsoft Visual Studio 2008 Standard Edition,Microsoft,X14-39664-01,37
100916,DVSD SP3,SAE,,38
100917,AC/DC MUX SP1,SAE,,38
100918,DIGI Card SP3,SAE,,38
100919,RG SPIN 2.98 - BLANK PCB,SAE,,38
100920,Manual Test Station Board SP3,SAE,,38
100921,QVI Board SP2,SAE,,38
100922,Nano Board SP6B,SAE,,38
100923,DHP Board SP1,SAE,,38
100924,Nano Board SP6,SAE,,38
100925,DIGI Card SP6,SAE,,38
100926,Inductor Box Series SP1,SAE,,38
100927,Dual Die Mux SP1,SAE,,38
100928,CAL Board SP8,SAE,,38
100929,Output Adapter SP1,SAE,,38
100930,DC Motherboard SP8,SAE,,38
100931,270pF 100V ±5% NP0,AVX Corporation,12061A271JAT2A,3
100937,6800uF 100V ELECT THA SERIES,Panasonic - ECG,ECE-T2AA682FA,3
100938,500mW 39V ZENER,"Diodes, Inc.",BZT52C39-13-F,6
100939,SOT-223,Loranger,4243 041 X215,4
100942,1POS .1” 15AU Header,Tyco Electronics,87224-1,4
100943,OCTAL TRANSP LATCH,Texas Instruments,CD74AC373M96,25
100944,Core Clamp for Core OP42616UG,"Magnetics, Inc.",0PC261614,33
100945,"JACK SCREW .312"" ZINC/AU IRIDITE",Keystone Electronics,7230,24
100946,30V P-CH JFET,NXP Semiconductors,"PMBFJ174,215",27
100951,Enclosure - FTI-1000 Main - Raw,"Focused Test, Inc.",100951,39
100952,Enclosure - FTI-1000 Side Panel - Raw,"Focused Test, Inc.",100952,39
100953,Enclosure - FTI-1000 COMPLET Enclosure,"Focused Test, Inc.",100953,39
100954,Enclosure - FTI-1000 Main - Silked,"Focused Test, Inc.",100954,39
100955,Enclosure - FTI-1000 DC Left Side Panel - Silked,"Focused Test, Inc.",100955,39
100956,Enclosure - FTI-1000 AC Right Side Panel - Silked,"Focused Test, Inc.",100956,39
100957,FTI 3000 Enclosure - Raw,,100957,39
100958,FTI 3000 Enclosure - Silk Screen,,100958,39
100959,Enclosure - 36V Power Supply - Top Part,"D&D Metal Products, Inc.",100959,40
100960,Enclosure - 36V Power Supply - Bottom Part,"D&D Metal Products, Inc.",100960,40
100961,Inductor Box Enclosure -  Base - Top,"D&D Metal Products, Inc.",100961,39
100962,Inductor Box Enclosure - Base - Bottom,"D&D Metal Products, Inc.",100962,39
100963,Inductor Box Enclosure - Lid - Polycarb,Plastic Creations,100963,39
100964,Test Head Mux Enclosure - Main,"D&D Metal Products, Inc.",100964,39
100965,Test Head Mux Enclosure - Base,"D&D Metal Products, Inc.",100965,39
100966,Multi Station Mux Enclosure - Main,"D&D Metal Products, Inc.",100966,39
100967,Multi Station Mux Enclosure - Base,"D&D Metal Products, Inc.",100967,39
100968,"Enclosure - 8.66""x6.5""x2"" Basic w/ Blank End Plates - CAL/UHV/MDM Etc.",Hammond,1455T2201,39
100969,Enclosure End Plate - CAL Box - CBITs End - Silked,Rainbow Signs,,40
100970,Enclosure End Plate - CAL Box - Banana End - Silked,Rainbow Signs,,40
100971,Enclosure End Plate - UHV - CBITs End  - Silked,Rainbow Signs,,40
