id,description,mfg,mfg_id,category_id
100366,1.2GHz OP-AMP SHUTDOWN,National Semiconductor,LMH6703MA,25
100367,OP-AMP DUAL BIAS-CURR LN,Analog Devices Inc,AD8672ARZ,25
100368,OP-AMP DUAL HS LP,Analog Devices Inc,AD826AR-REEL7,25
100369,OP-AMP FET-IN HP HS,Analog Devices Inc,AD8065ARZ,25
100370,1.8MHz OP-AMP GP SGL,Texas Instruments,OPA452TA-1,25
100371,1MHz OP-AMP GP QUAD,Texas Instruments,LT1014DIDW,25
100372,200MHz OP-AMP QUAD,Intersil,ISL55004IBZ,25
100373,OP-AMP QUAD JFET HS LP,Analog Devices,OP482GSZ,25
100374,OP-AMP R-R FET-IN LP,Analog Devices Inc,AD820ARZ,25
100375,700MHz OP-AMP VFB  DUAL,Texas Instruments,OPA2652U,25
100376,OP-AMP VF DUAL LDIST LN,Analog Devices Inc,AD8056ARZ,25
100377,Opto Photo2 Output,Fairchild Semiconductor,FOD8173SD,25
100378,OPTOCOUPL T-OUT VDE,Fairchild Semiconductor,H11A8173SD,25
100379,Optocoupler Dual BI 15MBD,Avago Technologies,ACSL-6210-00RE,25
100380,Optocoupler Quad 15MBD,Avago Technologies,ACSL-6400-00TE,25
100381,OPTOCOUPLER QUAD BIDIR,Avago Technologies,ACSL-6420-00TE,25
100382,OPTOCOUPL T-OUT,Fairchild Semiconductor,MOC207M,25
100383,OPTOISOLATOR 1CH DARL OUT HI VCE,NEC,PS2832-1-F3,25
100384,OPTOISOLATOR 4CH TRANS,NEC,PS2801-4-A,25
100385,PHS/FREQ DISCRIMINATOR,Analog Devices Inc,AD9901KPZ,25
100386,15V POSITIVE REGULATOR,STMicroelectronics,L78M15CDT-TR,25
100387,5V 1.5A POSITIVE REGULATOR,STMicroelectronics,L7805CD2T-TR,25
100388,PREC SHUNT REG ADJ LV,Texas Instruments,TLVH431BCDBZR,25
100389,PREC SHUNT REG ADJ LV,Texas Instruments,TLVH432BCDBZR,25
100390,REF PREC MICROPWR ADJ,National Semiconductor,LM4051AIM3-ADJ/NOPB,25
100391,PROM SRL FOR 2M GATE,"Xilinx, Inc.",XCF02SVOG20C,25
100392,PROM SRL FOR 4M GATE,"Xilinx, Inc.",XCF04SVOG20C,25
100393,PWM FAN SPD CONTRLR SD,Microchip Technology,TC648VOA713,25
100394,QUAD 2-IN EX-OR GATE,Texas Instruments,SN74AC86D,25
100395,QUAD 2-IN NAND GATE,Texas Instruments,SN74LVC00AD,25
100396,QUAD 2-IN POS-AND GATE,Texas Instruments,SN74ACT08DR,25
100397,QUAD 2-IN POS-OR GATE,Texas Instruments,SN74AHC32DR,25
100398,QUAD 2-INPUT AND GATE,Texas Instruments,SN74LVC08ADR,25
100399,QUAD 2IN POS-NAND GATE,Texas Instruments,SN74ACT00DR,25
100400,QUAD JFET-IN OP-AMP,Texas Instruments,TL074CDR,25
100401,QUAD JFET-IN OP-AMP,STMicroelectronics,TL084CDT,25
